val,node,T0,T1,T2,T3,T4,T5
70,TcpNode0,1617741273322,1617741273322,1617741273326,1617741273331,1617741273341,1617741273341
72,TcpNode0,1617741273342,1617741273342,1617741273346,1617741273348,1617741273350,1617741273351
71,TcpNode2,1617741273332,1617741273332,1617741273341,1617741273362,1617741273368,1617741273369
73,TcpNode0,1617741273360,1617741273360,1617741273364,1617741273367,1617741273371,1617741273371
74,TcpNode0,1617741273370,1617741273370,1617741273375,1617741273381,1617741273382,1617741273383
75,TcpNode0,1617741273392,1617741273392,1617741273395,1617741273397,1617741273399,1617741273399
77,TcpNode0,1617741273412,1617741273412,1617741273414,1617741273417,1617741273419,1617741273419
76,TcpNode2,1617741273402,1617741273402,1617741273405,1617741273415,1617741273419,1617741273420
78,TcpNode0,1617741273422,1617741273422,1617741273425,1617741273432,1617741273439,1617741273440
80,TcpNode0,1617741273451,1617741273451,1617741273455,1617741273457,1617741273458,1617741273459
79,TcpNode2,1617741273441,1617741273441,1617741273445,1617741273450,1617741273459,1617741273460
81,TcpNode0,1617741273461,1617741273461,1617741273464,1617741273466,1617741273470,1617741273471
82,TcpNode0,1617741273483,1617741273483,1617741273487,1617741273492,1617741273494,1617741273495
84,TcpNode0,1617741273504,1617741273504,1617741273509,1617741273516,1617741273518,1617741273521
85,TcpNode0,1617741273514,1617741273514,1617741273518,1617741273520,1617741273522,1617741273523
83,TcpNode2,1617741273493,1617741273493,1617741273498,1617741273520,1617741273522,1617741273523
86,TcpNode2,1617741273524,1617741273524,1617741273528,1617741273534,1617741273536,1617741273537
87,TcpNode0,1617741273555,1617741273555,1617741273558,1617741273560,1617741273561,1617741273562
88,TcpNode2,1617741273565,1617741273565,1617741273568,1617741273580,1617741273585,1617741273586
89,TcpNode0,1617741273580,1617741273580,1617741273585,1617741273592,1617741273595,1617741273603
90,TcpNode0,1617741273590,1617741273590,1617741273594,1617741273602,1617741273604,1617741273604
91,TcpNode0,1617741273617,1617741273617,1617741273621,1617741273633,1617741273637,1617741273638
92,TcpNode2,1617741273626,1617741273626,1617741273629,1617741273637,1617741273642,1617741273643
93,TcpNode0,1617741273636,1617741273636,1617741273640,1617741273642,1617741273646,1617741273646
94,TcpNode0,1617741273661,1617741273661,1617741273664,1617741273677,1617741273680,1617741273680
95,TcpNode2,1617741273671,1617741273671,1617741273675,1617741273680,1617741273686,1617741273686
96,TcpNode0,1617741273681,1617741273681,1617741273684,1617741273709,1617741273714,1617741273714
97,TcpNode2,1617741273696,1617741273696,1617741273699,1617741273709,1617741273715,1617741273715
98,TcpNode0,1617741273706,1617741273706,1617741273710,1617741273715,1617741273721,1617741273721
99,TcpNode2,1617741273716,1617741273716,1617741273719,1617741273722,1617741273726,1617741273727
100,TcpNode0,1617741273742,1617741273742,1617741273746,1617741273750,1617741273758,1617741273758
101,TcpNode2,1617741273752,1617741273752,1617741273757,1617741273759,1617741273761,1617741273761
102,TcpNode0,1617741273762,1617741273762,1617741273766,1617741273768,1617741273769,1617741273770
103,TcpNode0,1617741273783,1617741273783,1617741273786,1617741273793,1617741273797,1617741273797
104,TcpNode2,1617741273793,1617741273793,1617741273796,1617741273798,1617741273800,1617741273801
105,TcpNode0,1617741273803,1617741273803,1617741273806,1617741273809,1617741273811,1617741273811
106,TcpNode0,1617741273822,1617741273822,1617741273826,1617741273830,1617741273831,1617741273832
107,TcpNode2,1617741273832,1617741273832,1617741273836,1617741273837,1617741273839,1617741273839
108,TcpNode0,1617741273847,1617741273847,1617741273850,1617741273858,1617741273860,1617741273861
109,TcpNode2,1617741273857,1617741273857,1617741273860,1617741273868,1617741273871,1617741273871
110,TcpNode0,1617741273867,1617741273867,1617741273871,1617741273873,1617741273877,1617741273877
111,TcpNode0,1617741273889,1617741273889,1617741273892,1617741273898,1617741273900,1617741273901
112,TcpNode2,1617741273899,1617741273899,1617741273902,1617741273904,1617741273906,1617741273906
113,TcpNode0,1617741273914,1617741273914,1617741273919,1617741273925,1617741273928,1617741273929
114,TcpNode2,1617741273924,1617741273924,1617741273928,1617741273936,1617741273940,1617741273941
115,TcpNode0,1617741273934,1617741273934,1617741273938,1617741273946,1617741273947,1617741273948
116,TcpNode0,1617741273957,1617741273957,1617741273961,1617741273965,1617741273967,1617741273967
117,TcpNode2,1617741273967,1617741273967,1617741273971,1617741273980,1617741273982,1617741273982
118,TcpNode0,1617741273978,1617741273978,1617741273982,1617741273985,1617741273986,1617741273987
119,TcpNode0,1617741273988,1617741273988,1617741273992,1617741273996,1617741273997,1617741273998
120,TcpNode0,1617741274011,1617741274011,1617741274014,1617741274023,1617741274025,1617741274026
121,TcpNode2,1617741274021,1617741274021,1617741274025,1617741274036,1617741274042,1617741274042
122,TcpNode0,1617741274031,1617741274031,1617741274035,1617741274038,1617741274042,1617741274043
123,TcpNode0,1617741274042,1617741274042,1617741274048,1617741274053,1617741274058,1617741274058
124,TcpNode2,1617741274059,1617741274059,1617741274063,1617741274068,1617741274070,1617741274071
125,TcpNode0,1617741274069,1617741274069,1617741274072,1617741274076,1617741274078,1617741274078
126,TcpNode2,1617741274079,1617741274079,1617741274082,1617741274084,1617741274086,1617741274086
127,TcpNode0,1617741274095,1617741274095,1617741274099,1617741274104,1617741274105,1617741274106
128,TcpNode2,1617741274105,1617741274105,1617741274109,1617741274110,1617741274112,1617741274112
129,TcpNode0,1617741274121,1617741274121,1617741274124,1617741274126,1617741274128,1617741274128
130,TcpNode2,1617741274131,1617741274131,1617741274133,1617741274135,1617741274137,1617741274137
131,TcpNode0,1617741274149,1617741274149,1617741274153,1617741274155,1617741274157,1617741274158
132,TcpNode2,1617741274159,1617741274159,1617741274163,1617741274164,1617741274166,1617741274167
133,TcpNode0,1617741274175,1617741274175,1617741274179,1617741274181,1617741274183,1617741274183
134,TcpNode2,1617741274185,1617741274185,1617741274188,1617741274190,1617741274192,1617741274192
135,TcpNode0,1617741274200,1617741274200,1617741274204,1617741274206,1617741274207,1617741274208
136,TcpNode2,1617741274210,1617741274210,1617741274213,1617741274220,1617741274222,1617741274222
137,TcpNode0,1617741274220,1617741274220,1617741274225,1617741274227,1617741274230,1617741274231
138,TcpNode2,1617741274231,1617741274231,1617741274235,1617741274237,1617741274239,1617741274239
139,TcpNode0,1617741274247,1617741274247,1617741274251,1617741274255,1617741274257,1617741274257
140,TcpNode2,1617741274257,1617741274257,1617741274262,1617741274267,1617741274269,1617741274281
141,TcpNode0,1617741274268,1617741274268,1617741274272,1617741274280,1617741274282,1617741274283
143,TcpNode0,1617741274288,1617741274288,1617741274292,1617741274293,1617741274295,1617741274295
142,TcpNode2,1617741274278,1617741274278,1617741274282,1617741274294,1617741274298,1617741274299
144,TcpNode0,1617741274309,1617741274309,1617741274313,1617741274319,1617741274320,1617741274321
145,TcpNode2,1617741274319,1617741274319,1617741274323,1617741274327,1617741274330,1617741274330
146,TcpNode0,1617741274330,1617741274330,1617741274333,1617741274336,1617741274338,1617741274338
147,TcpNode0,1617741274346,1617741274346,1617741274350,1617741274352,1617741274353,1617741274353
148,TcpNode2,1617741274356,1617741274356,1617741274359,1617741274361,1617741274362,1617741274363
149,TcpNode0,1617741274370,1617741274370,1617741274375,1617741274378,1617741274379,1617741274380
150,TcpNode2,1617741274380,1617741274380,1617741274384,1617741274385,1617741274387,1617741274387
151,TcpNode0,1617741274397,1617741274397,1617741274401,1617741274404,1617741274406,1617741274406
152,TcpNode2,1617741274407,1617741274407,1617741274410,1617741274412,1617741274415,1617741274415
153,TcpNode0,1617741274417,1617741274417,1617741274421,1617741274423,1617741274427,1617741274427
154,TcpNode2,1617741274428,1617741274428,1617741274432,1617741274440,1617741274442,1617741274442
155,TcpNode0,1617741274438,1617741274438,1617741274442,1617741274446,1617741274447,1617741274448
156,TcpNode0,1617741274448,1617741274448,1617741274451,1617741274454,1617741274456,1617741274456
157,TcpNode0,1617741274469,1617741274469,1617741274472,1617741274474,1617741274476,1617741274476
158,TcpNode2,1617741274479,1617741274479,1617741274483,1617741274484,1617741274486,1617741274486
159,TcpNode0,1617741274497,1617741274497,1617741274502,1617741274509,1617741274512,1617741274512
160,TcpNode2,1617741274507,1617741274507,1617741274511,1617741274512,1617741274514,1617741274514
161,TcpNode0,1617741274517,1617741274517,1617741274521,1617741274524,1617741274526,1617741274526
162,TcpNode0,1617741274536,1617741274536,1617741274540,1617741274544,1617741274546,1617741274546
163,TcpNode2,1617741274546,1617741274546,1617741274549,1617741274551,1617741274553,1617741274553
164,TcpNode0,1617741274560,1617741274560,1617741274564,1617741274566,1617741274568,1617741274568
165,TcpNode2,1617741274570,1617741274570,1617741274574,1617741274576,1617741274580,1617741274581
166,TcpNode0,1617741274581,1617741274581,1617741274586,1617741274591,1617741274593,1617741274594
167,TcpNode2,1617741274592,1617741274592,1617741274601,1617741274612,1617741274614,1617741274614
168,TcpNode0,1617741274607,1617741274607,1617741274611,1617741274617,1617741274619,1617741274619
169,TcpNode0,1617741274617,1617741274617,1617741274626,1617741274629,1617741274636,1617741274636
170,TcpNode2,1617741274634,1617741274634,1617741274639,1617741274648,1617741274650,1617741274650
171,TcpNode0,1617741274644,1617741274644,1617741274647,1617741274652,1617741274654,1617741274654
172,TcpNode0,1617741274654,1617741274654,1617741274663,1617741274666,1617741274668,1617741274668
173,TcpNode0,1617741274679,1617741274679,1617741274684,1617741274692,1617741274695,1617741274695
174,TcpNode2,1617741274689,1617741274689,1617741274692,1617741274697,1617741274698,1617741274699
175,TcpNode0,1617741274699,1617741274699,1617741274703,1617741274705,1617741274707,1617741274707
176,TcpNode0,1617741274720,1617741274720,1617741274724,1617741274726,1617741274728,1617741274728
177,TcpNode2,1617741274730,1617741274730,1617741274733,1617741274738,1617741274740,1617741274740
178,TcpNode0,1617741274748,1617741274748,1617741274752,1617741274754,1617741274755,1617741274756
179,TcpNode2,1617741274758,1617741274758,1617741274761,1617741274763,1617741274765,1617741274765
180,TcpNode0,1617741274773,1617741274773,1617741274776,1617741274778,1617741274780,1617741274780
181,TcpNode2,1617741274783,1617741274783,1617741274786,1617741274787,1617741274789,1617741274789
182,TcpNode0,1617741274797,1617741274797,1617741274801,1617741274803,1617741274805,1617741274805
183,TcpNode2,1617741274807,1617741274807,1617741274810,1617741274811,1617741274813,1617741274813
184,TcpNode0,1617741274826,1617741274826,1617741274830,1617741274832,1617741274834,1617741274834
185,TcpNode2,1617741274836,1617741274836,1617741274840,1617741274841,1617741274843,1617741274844
186,TcpNode0,1617741274853,1617741274853,1617741274857,1617741274861,1617741274862,1617741274862
187,TcpNode2,1617741274863,1617741274863,1617741274867,1617741274868,1617741274870,1617741274871
188,TcpNode0,1617741274879,1617741274879,1617741274883,1617741274885,1617741274887,1617741274887
189,TcpNode2,1617741274889,1617741274889,1617741274892,1617741274894,1617741274896,1617741274896
190,TcpNode0,1617741274905,1617741274905,1617741274909,1617741274913,1617741274916,1617741274916
191,TcpNode2,1617741274915,1617741274915,1617741274919,1617741274920,1617741274925,1617741274926
192,TcpNode0,1617741274926,1617741274926,1617741274930,1617741274934,1617741274936,1617741274936
