T0;T1;T2;T3;Value;Jobs;Heartbeat;Cluster;Name
1617112197185;1617112200827;1617112200861;1617112200863;74;45;92;node1:0,node3:45;node2
1617112197184;1617112200819;1617112200856;1617112200877;73;45;37;node1:0,node2:45;node3
1617112197186;1617112200856;1617112200889;1617112200898;75;44;77;node1:0,node2:44;node3
1617112197187;1617112200866;1617112200886;1617112200925;76;44;42;node1:0,node3:44;node2
1617112197189;1617112200887;1617112200915;1617112200940;78;43;25;node1:0,node3:43;node2
1617112197188;1617112200890;1617112200943;1617112200949;77;43;34;node1:0,node2:43;node3
1617112197193;1617112200924;1617112200959;1617112200977;80;43;28;node1:0,node3:42;node2
1617112197192;1617112200947;1617112200984;1617112200994;79;42;53;node1:0,node2:43;node3
1617112197196;1617112200960;1617112200985;1617112200999;82;43;28;node1:0,node3:42;node2
1617112197198;1617112200988;1617112201013;1617112201025;84;42;71;node1:0,node3:42;node2
1617112197194;1617112200985;1617112201036;1617112201039;81;42;41;node1:0,node2:42;node3
1617112197200;1617112201019;1617112201041;1617112201053;86;41;27;node1:0,node3:41;node2
1617112197205;1617112201046;1617112201066;1617112201083;88;41;27;node1:0,node3:41;node2
1617112197197;1617112201039;1617112201080;1617112201101;83;41;52;node1:0,node2:41;node3
1617112197207;1617112201070;1617112201088;1617112201106;90;41;54;node1:0,node3:40;node2
1617112197209;1617112201091;1617112201117;1617112201122;92;41;54;node1:0,node3:40;node2
1617112197199;1617112201083;1617112201123;1617112201125;85;40;44;node1:0,node2:41;node3
1617112197211;1617112201121;1617112201152;1617112201160;94;40;50;node1:0,node3:39;node2
1617112197204;1617112201126;1617112201174;1617112201181;87;39;44;node1:0,node2:40;node3
1617112197222;1617112201156;1617112201181;1617112201183;96;39;35;node1:0,node3:38;node2
1617112197206;1617112201178;1617112201195;1617112201196;89;38;50;node1:0,node2:39;node3
1617112197225;1617112201184;1617112201208;1617112201221;98;39;35;node1:0,node3:38;node2
1617112197208;1617112201196;1617112201220;1617112201222;91;38;22;node1:0,node2:38;node3
1617112197228;1617112201211;1617112201234;1617112201246;100;38;56;node1:0,node3:38;node2
1617112197210;1617112201222;1617112201250;1617112201251;93;38;22;node1:0,node2:38;node3
1617112197234;1617112201238;1617112201260;1617112201269;102;37;27;node1:0,node3:37;node2
1617112197212;1617112201252;1617112201277;1617112201278;95;37;54;node1:0,node2:37;node3
1617112197224;1617112201280;1617112201310;1617112201311;97;36;27;node1:0,node2:36;node3
1617112197236;1617112201265;1617112201294;1617112201314;104;37;27;node1:0,node3:37;node2
1617112197226;1617112201313;1617112201349;1617112201350;99;36;27;node1:0,node2:36;node3
1617112197238;1617112201298;1617112201334;1617112201354;106;36;59;node1:0,node3:36;node2
1617112197229;1617112201349;1617112201368;1617112201369;101;35;72;node1:0,node2:35;node3
1617112197241;1617112201335;1617112201360;1617112201374;108;35;41;node1:0,node3:35;node2
1617112197235;1617112201371;1617112201394;1617112201396;103;34;20;node1:0,node2:34;node3
1617112197237;1617112201398;1617112201415;1617112201416;105;34;20;node1:0,node2:34;node3
1617112197245;1617112201367;1617112201413;1617112201431;110;35;41;node1:0,node3:35;node2
1617112197240;1617112201417;1617112201439;1617112201441;107;34;20;node1:0,node2:34;node3
1617112197247;1617112201416;1617112201452;1617112201453;112;34;79;node1:0,node3:34;node2
1617112197242;1617112201444;1617112201469;1617112201470;109;33;71;node1:0,node2:33;node3
