T0;T1;T2;T3;Value;Jobs;Heartbeat;Cluster;Name
1617110366863;1617110372327;1617110372353;1617110372354;83;91;33;node1:0;node3
1617110366865;1617110372354;1617110372381;1617110372382;84;91;28;node1:0;node3
1617110366866;1617110372381;1617110372421;1617110372422;85;91;28;node1:0;node3
1617110366868;1617110372422;1617110372455;1617110372456;86;91;41;node1:0;node3
1617110366869;1617110372456;1617110372481;1617110372483;87;91;33;node1:0;node3
1617110366872;1617110372482;1617110372511;1617110372512;88;91;27;node1:0;node3
1617110366873;1617110372512;1617110372543;1617110372544;89;91;29;node1:0;node3
1617110366875;1617110372544;1617110372580;1617110372581;90;91;33;node1:0;node3
1617110366876;1617110372581;1617110372607;1617110372608;91;91;36;node1:0;node3
1617110366878;1617110372608;1617110372639;1617110372641;92;91;28;node1:0;node3
1617110366879;1617110372640;1617110372667;1617110372669;93;91;32;node1:0;node3
1617110366882;1617110372668;1617110372697;1617110372698;94;91;28;node1:0;node3
1617110366883;1617110372698;1617110372708;1617110372709;95;91;28;node1:0;node3
1617110366885;1617110372709;1617110372736;1617110372738;96;91;41;node1:0;node3
1617110366886;1617110372737;1617110372766;1617110372768;97;90;30;node1:0;node3
1617110366888;1617110372767;1617110372793;1617110372794;98;90;28;node1:0;node3
1617110366890;1617110372794;1617110372831;1617110372832;99;90;26;node1:0;node3
1617110366892;1617110372831;1617110372856;1617110372858;100;90;38;node1:0;node3
1617110366893;1617110372857;1617110372883;1617110372884;101;90;26;node1:0;node3
1617110366895;1617110372883;1617110372917;1617110372918;102;90;26;node1:0;node3
1617110366896;1617110372917;1617110372944;1617110372945;103;90;34;node1:0;node3
1617110366898;1617110372944;1617110372958;1617110372959;104;90;34;node1:0;node3
1617110366901;1617110372959;1617110372985;1617110372987;105;90;42;node1:0;node3
1617110366902;1617110372986;1617110373020;1617110373022;106;89;26;node1:0;node3
1617110366904;1617110373020;1617110373049;1617110373051;107;89;35;node1:0;node3
1617110366905;1617110373050;1617110373085;1617110373086;108;89;30;node1:0;node3
1617110366907;1617110373086;1617110373127;1617110373128;109;89;36;node1:0;node3
1617110366910;1617110373128;1617110373158;1617110373160;110;89;42;node1:0;node3
1617110366912;1617110373159;1617110373185;1617110373187;111;89;31;node1:0;node3
1617110366913;1617110373186;1617110373197;1617110373198;112;89;31;node1:0;node3
1617110366914;1617110373197;1617110373231;1617110373232;113;89;38;node1:0;node3
1617110366916;1617110373231;1617110373264;1617110373265;114;88;34;node1:0;node3
1617110366917;1617110373265;1617110373301;1617110373302;115;88;33;node1:0;node3
1617110366919;1617110373302;1617110373328;1617110373329;116;88;38;node1:0;node3
1617110366922;1617110373328;1617110373355;1617110373356;117;88;26;node1:0;node3
1617110366923;1617110373355;1617110373383;1617110373385;118;88;27;node1:0;node3
1617110366924;1617110373384;1617110373416;1617110373418;119;88;29;node1:0;node3
1617110366926;1617110373417;1617110373448;1617110373449;120;88;33;node1:0;node3
1617110366928;1617110373449;1617110373477;1617110373478;121;88;32;node1:0;node3
1617110366930;1617110373477;1617110373511;1617110373512;122;88;29;node1:0;node3
1617110366932;1617110373511;1617110373540;1617110373542;123;88;33;node1:0;node3
1617110366933;1617110373541;1617110373570;1617110373571;124;88;30;node1:0;node3
1617110366935;1617110373570;1617110373599;1617110373601;125;88;29;node1:0;node3
1617110366936;1617110373600;1617110373630;1617110373631;126;88;30;node1:0;node3
1617110366938;1617110373631;1617110373659;1617110373660;127;88;31;node1:0;node3
1617110366941;1617110373659;1617110373693;1617110373695;128;88;28;node1:0;node3
1617110366942;1617110373694;1617110373722;1617110373724;129;88;35;node1:0;node3
1617110366944;1617110373727;1617110373761;1617110373763;130;88;29;node1:0;node3
1617110366946;1617110373762;1617110373792;1617110373793;131;88;39;node1:0;node3
1617110366947;1617110373795;1617110373822;1617110373823;132;88;30;node1:0;node3
1617110366950;1617110373823;1617110373847;1617110373849;133;88;30;node1:0;node3
1617110366951;1617110373848;1617110373876;1617110373878;134;88;26;node1:0;node3
1617110366953;1617110373877;1617110373903;1617110373905;135;88;29;node1:0;node3
1617110366955;1617110373904;1617110373937;1617110373939;136;88;27;node1:0;node3
1617110366956;1617110373938;1617110373963;1617110373965;137;88;33;node1:0;node3
1617110366957;1617110373964;1617110373995;1617110373997;138;88;27;node1:0;node3
1617110366959;1617110373996;1617110374029;1617110374030;139;88;33;node1:0;node3
1617110366961;1617110374029;1617110374057;1617110374059;140;88;32;node1:0;node3
1617110366963;1617110374058;1617110374094;1617110374095;141;88;29;node1:0;node3
1617110366964;1617110374095;1617110374139;1617110374142;142;88;42;node1:0;node3
1617110366966;1617110374140;1617110374187;1617110374188;143;88;41;node1:0;node3
1617110366967;1617110374187;1617110374214;1617110374215;144;88;46;node1:0;node3
1617110366970;1617110374215;1617110374248;1617110374249;145;88;28;node1:0;node3
1617110366971;1617110374249;1617110374278;1617110374279;146;88;33;node1:0;node3
1617110366973;1617110374278;1617110374308;1617110374310;147;88;30;node1:0;node3
1617110366975;1617110374309;1617110374346;1617110374347;148;88;31;node1:0;node3
1617110366976;1617110374347;1617110374375;1617110374376;149;88;38;node1:0;node3
1617110366977;1617110374376;1617110374408;1617110374410;150;88;28;node1:0;node3
1617110366980;1617110374409;1617110374438;1617110374439;151;88;34;node1:0;node3
1617110366982;1617110374439;1617110374465;1617110374466;152;88;29;node1:0;node3
1617110366983;1617110374465;1617110374493;1617110374494;153;88;27;node1:0;node3
1617110366985;1617110374494;1617110374522;1617110374523;154;88;28;node1:0;node3
1617110366987;1617110374522;1617110374532;1617110374534;155;88;28;node1:0;node3
1617110366988;1617110374533;1617110374558;1617110374559;156;88;40;node1:0;node3
1617110366991;1617110374559;1617110374587;1617110374588;157;87;25;node1:0;node3
1617110366992;1617110374588;1617110374622;1617110374624;158;87;30;node1:0;node3
1617110366993;1617110374623;1617110374659;1617110374660;159;87;35;node1:0;node3
1617110366995;1617110374660;1617110374688;1617110374689;160;87;37;node1:0;node3
1617110366996;1617110374688;1617110374718;1617110374719;161;87;28;node1:0;node3
1617110366997;1617110374719;1617110374750;1617110374752;162;87;30;node1:0;node3
1617110367000;1617110374751;1617110374784;1617110374785;163;87;33;node1:0;node3
1617110367002;1617110374784;1617110374820;1617110374821;164;87;33;node1:0;node3
1617110367003;1617110374820;1617110374854;1617110374855;165;87;37;node1:0;node3
1617110367005;1617110374854;1617110374887;1617110374889;166;87;33;node1:0;node3
1617110367006;1617110374889;1617110374917;1617110374919;167;87;34;node1:0;node3
1617110367009;1617110374919;1617110374954;1617110374955;168;87;30;node1:0;node3
1617110367011;1617110374955;1617110374982;1617110374983;169;87;36;node1:0;node3
1617110367012;1617110374983;1617110375012;1617110375013;170;87;29;node1:0;node3
1617110367013;1617110375036;1617110375048;1617110375049;171;87;29;node1:0;node3
1617110367014;1617110375049;1617110375082;1617110375084;172;87;36;node1:0;node3
1617110367016;1617110375085;1617110375119;1617110375120;173;87;43;node1:0;node3
1617110367018;1617110375119;1617110375150;1617110375151;174;87;28;node1:0;node3
1617110367021;1617110375154;1617110375180;1617110375182;175;87;32;node1:0;node3
1617110367022;1617110375181;1617110375211;1617110375212;176;87;31;node1:0;node3
1617110367024;1617110375213;1617110375243;1617110375245;177;87;29;node1:0;node3
1617110367025;1617110375245;1617110375276;1617110375278;178;87;33;node1:0;node3
1617110367027;1617110375277;1617110375306;1617110375308;179;87;33;node1:0;node3
1617110367031;1617110375307;1617110375336;1617110375337;180;87;30;node1:0;node3
1617110367034;1617110375338;1617110375366;1617110375368;181;87;29;node1:0;node3
1617110367035;1617110375369;1617110375397;1617110375399;182;87;31;node1:0;node3
1617110367037;1617110375398;1617110375425;1617110375426;183;87;32;node1:0;node3
1617110367040;1617110375426;1617110375458;1617110375459;184;87;28;node1:0;node3
1617110367042;1617110375459;1617110375472;1617110375473;185;87;28;node1:0;node3
1617110367043;1617110375473;1617110375506;1617110375507;186;87;45;node1:0;node3
1617110367045;1617110375507;1617110375517;1617110375522;187;87;45;node1:0;node3
1617110367047;1617110375518;1617110375553;1617110375555;188;86;48;node1:0;node3
1617110367050;1617110375554;1617110375588;1617110375590;189;85;33;node1:0;node3
1617110367052;1617110375589;1617110375618;1617110375619;190;85;36;node1:0;node3
1617110367054;1617110375619;1617110375648;1617110375649;191;85;30;node1:0;node3
1617110367055;1617110375649;1617110375674;1617110375675;192;85;29;node1:0;node3
1617110367059;1617110375675;1617110375702;1617110375704;193;85;26;node1:0;node3
1617110367061;1617110375703;1617110375732;1617110375733;194;85;29;node1:0;node3
1617110367062;1617110375733;1617110375758;1617110375759;195;85;29;node1:0;node3
1617110367064;1617110375758;1617110375783;1617110375784;196;85;26;node1:0;node3
1617110367065;1617110375783;1617110375816;1617110375817;197;85;25;node1:0;node3
